Society_name_EA,Family,latitude,longitude,Moralizing.bin,AnimHusbandry,Agriculture,JurLevelGlobal,Stability,Abundance
Lakher,Sino-Tibetan,22,93,1,1,1,1,-0.922023716,1.494311363
Lepcha,Sino-Tibetan,28,89,0,1,1,1,-0.619066021,-0.188915641
Lhota,Sino-Tibetan,27,94,0,1,1,0,-0.246945966,0.731174027
Cheremis,Uralic,43,46,1,1,1,1,-1.112527203,-0.67723308
Magar,Sino-Tibetan,28,84,0,1,1,3,-0.870931132,0.98994942
Minchia,Sino-Tibetan,26,100,0,1,1,1,-0.678780862,0.829094137
Purum,Sino-Tibetan,25,94,0,1,1,0,-0.896904165,1.324763705
Sema,Sino-Tibetan,26,95,0,1,1,0,-0.84032249,1.360672951
Sherpa,Sino-Tibetan,28,87,0,1,0,2,-0.513526525,-0.172859941
Thado,Sino-Tibetan,25,94,0,1,1,1,-0.896904165,1.324763705
Tibetans,Sino-Tibetan,30,91,0,1,1,4,-0.142098029,-1.200712008
Turks,Altaic,38,30,1,1,1,3,-1.164222761,-0.511219555
Quahgai,Altaic,30,52,1,1,0,2,0.461103598,-1.808497889
Chenchu,Dravidian,16,79,0,1,0,0,0.274130509,-0.499229715
Coorg,Dravidian,12,76,0,1,1,2,0.045279187,0.65186551
Maria Gond,Dravidian,19,81,0,1,1,1,-0.404991547,0.255876429
Reddi,Dravidian,18,82,0,1,1,1,-0.228784855,0.175751736
Telugu,Dravidian,18,79,0,1,1,3,-0.02836874,-0.279535594
Toda,Dravidian,12,77,0,1,0,1,0.000902021,0.127666603
Cambodians,Austro-Asiatic,12,105,0,1,1,3,0.681443101,0.485740973
Khmer,Austro-Asiatic,13,104,0,1,1,4,0.539060807,0.442329946
Mnong Gar,Austro-Asiatic,12,107,0,1,1,0,0.496369539,0.981026472
Khasi,Austro-Asiatic,26,92,0,1,1,1,-0.228602046,0.992760187
Lamet,Austro-Asiatic,20,101,0,1,1,0,-0.593310663,1.478410772
Lawa,Austro-Asiatic,18,98,0,1,1,1,-0.165235809,1.092623569
Palaung,Austro-Asiatic,23,97,0,1,1,1,-0.608186687,1.28492848
Chahar,Altaic,41,115,0,1,0,2,-0.655897298,-1.098100484
Santal,Austro-Asiatic,24,87,0,1,1,1,-0.274441166,0.116794688
Semang,Austro-Asiatic,5,101,0,0,0,0,0.076089565,1.854757993
Senoi,Austro-Asiatic,4,102,0,0,1,0,0.226498166,1.820654679
Annamese,Austro-Asiatic,17,107,0,1,1,4,0.302315111,0.758574706
Muong,Austro-Asiatic,21,105,0,1,1,2,-0.158507914,0.965845429
Atayal,Austronesian,24,121,0,1,1,1,-1.943362215,1.402583198
Batak,Austronesian,2,99,1,1,1,0,0.543676303,1.19615439
Bunun,Austronesian,24,121,0,1,1,0,-1.943362215,1.402583198
Dahuni,Austronesian,-10,150,0,1,1,0,-0.482813701,1.429981915
Dusun,Austronesian,6,117,0,1,1,0,0.121746105,1.796114028
Iban,Austronesian,2,112,0,1,1,0,0.267163934,1.454917275
Ifugao,Austronesian,17,121,0,1,1,0,-0.849251072,1.378458317
Javanese,Austronesian,-7,110,0,1,1,4,0.117530074,1.580243598
Kalinga,Austronesian,18,121,0,1,1,1,-0.716885325,1.105311043
Malays,Austronesian,5,103,1,1,1,2,0.673875166,1.087955928
Minangkabau,Austronesian,-1,101,1,1,1,2,0.319367678,1.544207202
Motu,Austronesian,-9,147,0,1,1,0,-0.902054806,1.50968021
Negri Sembilan,Austronesian,21,102,1,1,1,3,-0.586169725,1.412055656
Rhade,Austronesian,13,108,0,1,1,0,0.602768156,0.758069265
Sagada,Austronesian,17,121,0,1,1,0,-0.849251072,1.378458317
Subanun,Austronesian,8,123,0,1,1,0,-0.042322509,0.706166674
Sugbuhanon,Austronesian,10,124,1,1,1,4,-0.39030578,0.538357655
Tanala,Austronesian,-22,47,0,1,1,1,-0.187678766,0.521784086
Wogeo,Austronesian,-3.8,144,0,1,1,0,1.076257168,0.360048588
Arapesh,Torricelli,-4,144,0,1,1,0,0.943157987,0.459972593
Dani,Trans-New_Guinea,-4,139,0,1,1,1,0.612239102,0.674274352
Elema,Trans-New_Guinea,-7.7,145,0,1,0,0,-0.189207155,1.200244078
Enga,Trans-New_Guinea,-6,144,0,1,1,0,-0.370261448,1.473761197
Fore,Trans-New_Guinea,-6,145,0,1,1,0,-0.331198593,1.276752281
Kakoli,Trans-New_Guinea,-6,144,0,1,1,0,-0.370261448,1.473761197
Kapauku,Trans-New_Guinea,-4,136,0,1,1,1,0.569203994,0.864837193
Chekiang,Sino-Tibetan,31,120,0,1,1,4,-1.333700995,0.292336332
Lolo,Sino-Tibetan,29,103,0,1,1,0,-0.602472615,0.508756683
Koita,Trans-New_Guinea,-9,147,0,1,1,0,-0.902054806,1.50968021
Kwoma,Sepik,-4,142,0,1,1,0,1.128228637,0.450171115
Li,Tai-Kadai,19,109,0,1,1,2,-0.606939305,0.946599279
Orokaiva,Trans-New_Guinea,-9,148,0,1,1,0,-0.96750005,1.687277779
Siane,Trans-New_Guinea,-6,145,0,1,1,0,-0.331198593,1.276752281
Siamese,Tai-Kadai,15,100,0,1,1,4,0.242333595,0.301775567
